f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,label
-0.4649353,0.12988281,1.5064851005332176,2.105474680867442,2.220435423826105,2.093275590879341,1.7603403777902988,-0.62132263,-0.66708374,1.486749237270471,2.09201240382348,2.21285784104467,2.086399270497438,1.7580992860694995,-0.58444214,-0.051727295,1.5083480004466778,2.0974002837280206,2.2115234357785396,2.075432234926286,1.7331552435982491,0.20249939,-0.5389099,1.4978563615183766,2.0778333882244953,2.1930726057595877,2.0671113202673443,1.7260889335483545,0.1408844,0.78204346,1.5098051636370065,2.104117519160318,2.223427837679273,2.0994073547813765,1.7526021736544413,-0.32536316,-0.90914917,1.5127497198708924,2.110939321260339,2.235082715922546,2.1093507395935562,1.7566582132866084,0.1648407,0.074645996,1.5165009354482966,2.1284996854218723,2.2455629269495816,2.1153629235186644,1.7563302969828554,-1.2579651,0.17852783,1.4904318323944736,2.1290517553742783,2.2468689482048574,2.1209141961924662,1.7701579998629702,-1.532196,0.5845337,1.515397557257848,2.1473830746652207,2.2586127692416564,2.140741124815101,1.8102920899197867,1.5255432,0.73638916,1.527657475385538,2.147381688096177,2.2521118141952225,2.115930344341678,1.784085136574005,-2.0130768,0.51971436,1.6979948343831388,2.377671456052092,2.5134761302501203,2.3787162339255508,2.0090212024317773,-2.1697693,-1.435791,1.727807037056619,2.4279271548935597,2.5407464668916697,2.4139754486950977,2.0508331730237144,-5.1141815,-2.7714233,1.7679779942807963,2.3983648828678263,2.548427043260751,2.4702572641118015,2.173782868204464,-8.930496,-1.9142456,1.797983041449605,2.353222123876531,2.558434129883698,2.4638357243506186,2.1184286653930062,-3.26857,1.2036743,1.596056804608709,2.1659876071073163,2.19288994132638,2.0832571304306304,1.7238550037485356,ThankYou
-1.7142334,-0.66049194,1.6083734941118881,2.1388751706871134,2.3314196644247565,2.1983412374916247,1.8931826590116823,3.8419647,3.2129517,1.5664884745524044,2.1475617626177885,2.331191781614381,2.1846347908706556,1.8348267898279718,-0.60401917,0.8468933,1.555180363495264,2.1428062493204485,2.3428639135438,2.190552133296955,1.8645521570387007,-2.6928253,-2.4475403,1.6163589585748672,2.180153617594694,2.3994472386180514,2.29362717595083,1.9727846604563617,1.6559448,2.7209167,1.6120755356045477,2.2167726751096923,2.396841899205353,2.2605205457332613,1.9093027113196281,1.2706604,-0.19430542,1.6631777658985554,2.29446518884544,2.4610696462870076,2.311583771337449,1.9144685342006553,-2.0014648,-0.95214844,1.6958608651890028,2.308462771004711,2.5214891688469536,2.3903106108603964,2.0245543261569847,1.2825623,0.67007446,1.658205097478783,2.3234492480347444,2.562219522737552,2.4016228967111846,2.0159197994659395,2.876709,0.13049316,1.5667858542601671,2.2708257984377025,2.492654295377716,2.3025152654933443,1.9306969580205255,3.703354,3.671753,1.4901320315190003,2.212323499046535,2.416082085384003,2.2066035385461924,1.8071921411421308,0.9960022,-1.4828796,1.449551873737143,2.2144088444677816,2.4239334460978395,2.2015637524258067,1.7995549145253968,0.16729736,0.05404663,1.437274251023623,2.222400940068157,2.432269223767268,2.2025033324495564,1.7981070321220023,4.850418,0.66934204,1.4146221543846893,2.228214569056626,2.418452726937752,2.194198457614025,1.7377104477227037,0.48480225,0.49316406,1.5410150534521088,2.2651103039504727,2.345590217637955,2.160948372817354,1.7143382941812335,1.2012634,-0.8467102,1.7459482007040055,2.4935153467915887,2.607797316267376,2.450238597190908,2.0032773049428725,ThankYou
-3.024704,-1.1389465,2.23359493723586,2.9919497125269428,3.204404029608613,3.0536703192685324,2.5349475910471897,-3.9446564,0.2119751,2.3031431851450184,3.023981908580475,3.226290349079905,3.0698828701436542,2.567351807427213,-3.4962769,2.6620178,2.3234271599202216,3.1015509880018044,3.292252048783366,3.0114310891990668,2.412327248538912,2.8517303,-0.7746277,2.3325621649447434,3.13168819330498,3.382108253628487,3.1054675560152973,2.4232219915332607,-4.6937866,-0.5701904,2.444599631717265,3.202354920151495,3.4758229481312855,3.2243450389832566,2.55579500339135,-2.4211273,-2.1411133,2.475023420879224,3.3255024430774056,3.560610645631789,3.2636344406591555,2.4864557800883276,0.16020203,2.5711975,2.59340964696115,3.447911855081785,3.6623960762293417,3.335938929036738,2.5426752825658867,-0.5504608,-1.4523621,2.769055038923936,3.5852218625131957,3.7818403125487654,3.320446474926141,2.4448888059531884,-7.407547,0.5036011,2.6514168419237594,3.3890894078384464,3.5379813464333187,3.0622914345493797,2.2646778740740108,3.1470337,0.8674927,2.699733030517968,3.498555782853324,3.630870148369139,3.1644625150958037,2.3592281812717144,-0.8378296,0.21487427,2.8001322989878257,3.5908143188163866,3.7435000772850033,3.2726646280555634,2.435920802555322,-2.4534454,-3.664978,2.8111058097717687,3.510561746270174,3.5970328800853477,3.1541547627606814,2.2699846755690944,-3.6880798,-1.6625061,2.8244427919505157,3.4094773662257114,3.5359426168541166,3.1535091331399845,2.23729813717568,-6.7856903,-0.9281311,3.1480987956553617,3.7649886889750253,3.847997525774926,3.440508893519576,2.49424729233399,-3.0484467,-2.4558105,2.787462401652457,3.3949690088415108,3.4707101105368494,3.22401280140572,2.527114343156077,ThankYou
-1.5879669,-2.6207275,2.3960765437044675,3.002129122893018,3.2527291543534522,3.0292375481238762,2.363311654320289,-0.2669983,-0.07623291,2.564470218093476,3.102341299724884,3.4368042471891678,3.242270475253653,2.6533181020392282,2.7878113,-6.2367554,3.685724377304211,4.234464806301336,4.82512014156865,4.63860884033389,3.8393761656742442,-0.10726929,0.0005493164,3.7787174021713112,4.338456109645189,4.96078002602709,4.80915645739204,4.0201110132152005,-2.5579376,-4.3168945,5.775522745964399,6.240503180814431,7.227673290393135,7.123920456873019,5.942233539982866,-0.52064514,6.0364685,3.1703650355345383,3.9134345930872927,4.2495691120582855,4.008682333315694,3.323784068473302,1.2632294,0.40344238,2.61809143692175,3.350391161805445,3.595310627728169,3.31126007279419,2.6664129949417346,-3.3551178,-5.08609,4.057805611781342,4.817890671943229,5.259539000215034,4.968103263686648,4.189096062616366,1.1726837,-2.7998047,5.046058448657188,5.740538651521703,6.459927881181194,6.255869457910033,5.306434104224338,-0.875412,0.1635437,4.86415469780398,5.665283251492861,6.353195954803683,6.126303860165763,5.189730680622518,1.3071747,-7.4112244,9.572319450289656,10.347470052154828,11.988465164686898,11.865025390545911,9.920593696742264,-0.2525177,0.027740479,9.221111010516989,9.85020899393569,11.540479583386347,11.425587827945481,9.516597175584499,-0.5643158,-1.2554932,10.247054883716427,11.065390895208871,12.728497452684858,12.496372774437527,10.2939093758457,1.444458,-4.76532,14.360647009241342,14.621910321773804,17.404735139002998,17.433071381463687,14.567681365879503,-0.56381226,-2.6466064,12.29758010986824,12.240573271016972,14.669520987518757,14.720178593320854,12.179279803343274,ThankYou
-1.3600159,-0.19949341,1.826243211939852,2.6222117831184346,2.7993877409757277,2.640789626939588,2.181925734667747,-6.1180573,-5.056183,2.1164668232479498,2.879285915125627,3.0951159990409414,2.9101550052488117,2.337424882349939,-5.094696,-0.37686157,2.291011270392991,3.0924833667196725,3.3102851160252693,3.0348449945854896,2.336946429441192,-1.4713593,4.033905,2.284086798582657,3.1128443509676202,3.2833118074872196,2.9986701103974536,2.2928980891839923,-2.6833649,1.2036133,2.1994460196401215,3.0682618474419585,3.227885501786853,2.922949467309384,2.2314188577018292,1.4221954,-1.5048218,2.2397588031773994,3.1823853937913293,3.313956791290758,3.027792496809879,2.2937993399535643,-0.42442322,-1.5954895,2.048209122699802,2.9371198679927764,2.9509185471857675,2.594316755602974,1.968667584920966,-1.3084412,-0.5500488,1.8266590065782553,2.716272008241339,2.7439181140147713,2.3805087892529073,1.7855808885750717,-5.578247,-5.287384,1.766402433486809,2.67878309345365,2.6689337981538053,2.285900805361223,1.6477398159344887,-2.6130219,-1.6717834,1.5526941263152736,2.2519565398935897,2.17526590626454,1.7436821221220689,1.2566617627242382,5.320938,3.2488708,1.574299863694241,2.362945859685792,2.3216248595094595,1.9598043697629979,1.4133526959478844,-3.5929718,-3.2156677,1.2426361208737748,1.9319271505212108,1.8544943418644493,1.5107989235384651,1.0853300350961093,-3.7883453,-9.03833,1.0062391756158198,1.6214249997510302,1.5043515113484351,1.0358939202468345,0.6586037851254002,0.021697998,0.099823,1.1270525959544446,1.80271176561965,1.7539582189243799,1.364456346935344,0.9407753319406352,1.0050507,3.0935974,1.2993234724930232,2.112622562342737,2.047348197673443,1.6286547169671048,1.1207655574593671,ThankYou
1.2599182,0.6854248,1.6927964600152394,2.5960368825538165,2.8151180864070073,2.677704377250905,2.277822220924594,-3.1162262,5.8686523,1.738502234034668,2.58777587720182,2.8070898203608707,2.706010054174037,2.319445142548864,-3.82695,0.8930359,1.7650091153099918,2.609417184991067,2.8300989345512937,2.721422214456558,2.3281020853686374,2.2608337,5.127899,1.8102474027530675,2.686090020837809,2.914462753977433,2.7791199223806817,2.358834404000681,-1.9375305,1.9551697,1.9018874782092774,2.7428195536441926,3.0122435690784553,2.875474039960848,2.4321438877960833,0.97198486,1.5186768,1.9330227349252826,2.8404873824379204,3.0951729071504386,2.935611052742046,2.465249075821378,2.1100922,1.2501831,2.006888551757882,2.9632776513708907,3.2993905964309524,3.1149109138135955,2.5839711307619093,-2.025528,-0.894928,2.0749943102465793,3.0713100720156965,3.419759491912312,3.2389520840273156,2.6207398861796345,-2.9476318,1.9914246,2.1340485761906254,3.0333443401350575,3.428646309471368,3.2688117771610243,2.6456842701046566,-0.1952362,-2.6046753,2.3431584332833926,3.393912149842123,3.827477058541993,3.6773953654478966,2.9613098871215033,-1.3881073,-11.195862,2.851020511270176,4.0740408567436415,4.534510098099877,4.284880899413275,3.3094128371320606,0.115600586,-4.3882446,2.8356815920916323,4.219696100311154,4.718041269627162,4.428683266024627,3.4507339814852545,-0.4681549,-3.1662903,3.516557328102167,4.994479234540314,5.687840838017534,5.3200481552160355,4.107859106893501,-1.5623932,-10.413666,5.291427326003148,7.524632838599745,9.0783467477487,8.644269868564354,6.716864406712841,-3.709961,-1.1819458,5.865629574770543,8.412911605607839,10.255105048294206,9.860024886392157,7.673969545396532,ThankYou
1.4440918,2.76062,1.7005611603464938,2.3854499483268534,2.5144293638302395,2.406015535259747,2.016564979899446,-3.2843628,-1.2136841,1.8103778296971194,2.5371424381193513,2.6322985017559173,2.4141545214414744,1.932652069470018,1.5352325,2.9989014,1.8922416983287051,2.638466401598944,2.7916421203604025,2.541171741052683,2.051181324607993,0.0076446533,-2.95578,1.700557091466659,2.3823321411280696,2.4824491359977596,2.2671119554051504,1.7905188954901907,-3.6401672,1.6065369,1.9440808401273448,2.624901479343001,2.741394999758693,2.52709793317291,2.0470907819037882,-8.064194,-5.790344,1.6193000257218064,2.2232638668156555,2.265738313626858,2.057691595658202,1.6247137499533897,-1.3151398,2.9216614,1.7578283867530242,2.3879003562707752,2.3878564393947155,2.138746872120755,1.6696148018795944,-8.816803,-3.8358765,1.3509172463521633,1.9172247143822942,1.8558338880075436,1.6544044391302282,1.271786047676553,2.2008057,1.4994507,1.6714021399919354,2.284790857026199,2.2503269640875305,2.023049064277457,1.5653857136688984,-8.480667,-7.095398,1.3466303849576342,1.9455598901073292,1.9023876205902668,1.6802827930822326,1.1648016409485324,-2.1854095,-1.085083,1.198130726907288,1.8754463563602368,1.7909542079480534,1.6071364049589303,1.1694588828502324,-2.4190216,-8.906403,1.2494668136404494,1.972849388538715,1.8929494345108986,1.6264881186980655,1.1033520267694126,-3.9979706,-1.2238159,1.2543179064654564,1.778218914729905,1.7823291850741385,1.6743035648212308,1.1640345606428648,-3.9275818,-1.8504639,1.4956774879198207,1.753365727011026,1.8130321938447822,1.7823831826062226,1.3573165119332466,-3.6616669,-0.47860718,1.4342206646331788,1.464867546243836,1.6850299381559255,1.593884842623339,1.266557889925928,ThankYou
-9.063751,4.1391907,1.7350491365329346,2.403076146025561,2.601268384194322,2.5257253929103434,2.1881336766677135,-0.4732666,0.47286987,1.7268607713774675,2.4801895603182627,2.6723675853301163,2.582094750391434,2.246256717127614,-3.6996307,4.7704773,1.686218993624847,2.394673129968824,2.576301377357269,2.474050435301715,2.1198478907934515,-5.60141,3.606018,1.7093276623192484,2.4477099996496356,2.6540022416953057,2.517943559616452,2.1102902778288875,3.06044,6.740204,1.6601418480650825,2.4189212789301,2.6243780710001543,2.482669618097307,2.0276663709581073,-5.422638,2.4370422,1.7965639238691318,2.6608120823319745,2.940495157010939,2.80943743471271,2.3476976661702587,4.2071686,1.8661499,1.87249702373368,2.7832133364863094,3.0581035152678,2.9297692048519863,2.3807262728525225,-2.4711914,-2.8490906,2.13878637689818,3.0994189282222075,3.489288899355515,3.3893427196951116,2.7968266454650874,-7.296997,-0.68307495,2.3501864587689707,3.2554507798479997,3.687358282923092,3.52754532534645,2.7510250426156158,-3.3191223,0.08911133,2.3851612652272958,3.3639185651972636,3.837908987104384,3.6861904991323415,2.97798608323466,-8.557404,-12.243286,3.024811838270756,3.923858190629968,4.96921316274099,5.06929805629185,4.139927136774219,6.2860413,-7.703491,4.182112700127387,5.550957661998277,6.755614225651638,6.724506105110456,5.484636521249722,-5.298065,2.1328125,3.432983101096127,4.4593358062294985,5.558143228147827,5.582338821983443,4.47818795014189,-1.8518066,-11.690918,4.560599532233196,6.004840921622544,7.944458264696612,8.114459684314026,6.843441043655048,-2.9438477,-1.9778442,4.628172091839906,5.97172000622875,7.978990348101511,8.337108148765028,7.182886478836192,ThankYou
1.5239716,1.638916,1.79084660978469,2.6092509671775637,2.8186071017697194,2.7021785102261378,2.308172817626106,-2.3181,3.861267,1.8689051645956694,2.6526547456559024,2.8898399943084323,2.7575415436179638,2.298632110426242,-5.8245697,0.20800781,2.027695595170895,2.9106828502152005,3.248298477104891,3.0849967162459007,2.4692893824149698,5.4543304,3.0065002,2.034217746148759,2.9388608463711137,3.243196321180114,3.0074509312738966,2.379713609368564,-5.423355,-9.675171,1.6690230989357484,2.499095836350395,2.7166277359063082,2.4011261790868472,1.783116966098906,-1.3822327,-3.9951477,1.9319079893269901,2.8050181207830374,3.017240534440824,2.6462485243852347,1.9232530599868143,-0.82969666,-0.75875854,1.5251340817229542,2.3278690130874655,2.5225976758710864,2.209513240092419,1.6569773147849016,-2.1164398,-14.965271,1.81524185677122,2.6165398817685626,2.9416599542539994,2.898830382837647,2.370127641034761,-2.5744934,-10.163513,2.062119010068004,3.2267394890050394,3.8049220710725393,3.7709510455374873,3.182576602106883,4.160431,-10.913635,2.3265018569707365,3.5349173504788802,4.372054466556426,4.2946862738267395,3.553335093589755,-6.146637,-9.212418,3.392792502266747,3.7302845847493624,4.9615880402783885,5.42455189093506,5.012657666952508,-2.9012299,-0.5381012,2.899090597066554,2.5633706186364478,3.8107784113625125,3.9307987960419233,3.4790375547663737,-2.4784088,-4.2013855,3.6270117602022425,2.7760692696798155,4.017123160338447,3.986138070983754,3.3903460057575963,-1.4089813,-5.039505,6.045578359304107,3.827258362584647,5.9253411462752394,6.264000161253664,5.72165319542976,0.10253906,0.6697235,6.584371709162236,4.128910126957307,6.435194759552927,6.737322313804705,6.082046846962565,ThankYou
-11.71463,6.8191833,1.8057957438151813,2.6590844796950504,2.784807688158711,2.6619300244074706,2.3142935251334302,3.8623657,3.289856,1.7109638450850315,2.5570681668149895,2.6919156177106713,2.5728371490470145,2.1950562395032174,-5.622711,1.8352051,1.7894064283603375,2.655264814774229,2.7891735517769494,2.6642125206121983,2.238296534195009,-3.60672,2.9285278,1.884726517213898,2.720621998860601,2.901856671866976,2.7849015984603622,2.3460581855455245,0.039855957,0.0146484375,1.900535135758425,2.714680302463892,2.8988692516411003,2.741781684569792,2.250410691270277,-6.1945496,-1.0169373,2.2797975695032573,3.0812770592427676,3.3918445684303435,3.199689736148498,2.6529046873134274,-0.7769165,2.8477478,2.0347502554705206,2.8343852003185823,3.089338047223183,2.867486127726854,2.3205825608104216,-2.504425,-0.61032104,2.0602228676756664,2.9454792697503924,3.101380826960573,2.8238948692540706,2.2531594835443443,-4.0468445,-1.4182129,2.155956038354559,3.0483041909252546,3.2298084813514096,2.9071123438370208,2.20824020927701,-0.049835205,-1.6817017,2.2611015483073773,3.057007256562832,3.261862123976571,2.9594348610093317,2.173059910120625,-8.248428,-6.888214,2.6492287727984825,3.3623789486656657,3.5598380220067707,3.16313131773878,2.226952242051398,-1.7088776,0.27947998,2.276458212390997,2.7714290863159787,3.010697561543642,2.665010618283191,1.8013229764353598,-1.4416656,-1.9962158,2.266195091313243,2.8244274305852195,3.086822022264982,2.785768555043324,2.0451088501732637,2.4083862,-4.84729,2.2459344761089968,2.745185737859718,2.9620001790126302,2.5258485280692513,1.735098965483143,4.46727,1.8574829,1.7801188998346738,2.4578214655118704,2.6053403791959613,2.1872249973085194,1.5216129814102808,ThankYou
